SeedlingID,Height,Width,Intersect,Plant_Area,Image_ID_Portrait,Processed_Image_ID_Portrait,Date,Project,Depth,Plant_ellipsoid,Image_ID_Overview,Processed_Image_ID_Overview
1,2.9,3.3,1.7,4.785,DSC_0158.JPG,Processed_DSC_0158.JPG,10/17/19,HF,NA,NA,NA,NA
661,2,3.8,4,9.69,DSC_0158.JPG,Processed_DSC_0158.JPG,10/17/19,HF,NA,NA,NA,NA
644,4.4,3,3.5,6.6,DSC_0158.JPG,Processed_DSC_0158.JPG,10/17/19,HF,NA,NA,NA,NA
864,1.5,1,4,0.75,DSC_0158.JPG,Processed_DSC_0158.JPG,10/17/19,HF,NA,NA,NA,NA
1070,4.2,2.6,2.7,5,DSC_0158.JPG,Processed_DSC_0158.JPG,10/17/19,HF,NA,NA,NA,NA
417,5.2,2.4,6,6.24,DSC_0159.JPG,Processed_DSC_0159.JPG,10/17/19,HF,NA,NA,NA,NA
188,5.8,7,4.4,11.02,DSC_0159.JPG,Processed_DSC_0159.JPG,10/17/19,HF,NA,NA,NA,NA
527,8,2.8,1.6,3.36,DSC_0159.JPG,Processed_DSC_0159.JPG,10/17/19,HF,NA,NA,NA,NA
9,5,1.4,3.5,3.5,DSC_0159.JPG,Processed_DSC_0159.JPG,10/17/19,HF,NA,NA,NA,NA
17,3,0,3,0,DSC_0159.JPG,Processed_DSC_0159.JPG,10/17/19,HF,NA,NA,NA,NA
310,5.1,2.6,2.7,6.63,DSC_0160.JPG,Processed_DSC_0160.JPG,10/17/19,HF,NA,NA,NA,NA
897,6.2,3.2,3.7,9.92,DSC_0160.JPG,Processed_DSC_0160.JPG,10/17/19,HF,NA,NA,NA,NA
994,6.9,2.2,5.7,7.59,DSC_0160.JPG,Processed_DSC_0160.JPG,10/17/19,HF,NA,NA,NA,NA
23,7.3,3.7,5.9,13.505,DSC_0160.JPG,Processed_DSC_0160.JPG,10/17/19,HF,NA,NA,NA,NA
646,4,2,0,4,DSC_0160.JPG,Processed_DSC_0160.JPG,10/17/19,HF,NA,NA,NA,NA
328,5.3,4.4,4,11.66,DSC_0161.JPG,Processed_DSC_0161.JPG,10/17/19,HF,NA,NA,NA,NA
672,4.1,2.6,2.6,5.33,DSC_0161.JPG,Processed_DSC_0161.JPG,10/17/19,HF,NA,NA,NA,NA
284,2.5,2.8,0,3.5,DSC_0161.JPG,Processed_DSC_0161.JPG,10/17/19,HF,NA,NA,NA,NA
881,5.8,4.2,4.3,12.18,DSC_0161.JPG,Processed_DSC_0161.JPG,10/17/19,HF,NA,NA,NA,NA
1192,8.3,2.2,6.7,9.13,DSC_0161.JPG,Processed_DSC_0161.JPG,10/17/19,HF,NA,NA,NA,NA
157,6.2,3.7,3.8,11.47,DSC_0162.JPG,Processed_DSC_0162.JPG,10/17/19,HF,NA,NA,NA,NA
207,5.5,2.8,4.5,7.7,DSC_0162.JPG,Processed_DSC_0162.JPG,10/17/19,HF,NA,NA,NA,NA
682,3.3,2.8,2.4,4.62,DSC_0162.JPG,Processed_DSC_0162.JPG,10/17/19,HF,NA,NA,NA,NA
256,3.6,2.2,3.1,3.96,DSC_0162.JPG,Processed_DSC_0162.JPG,10/17/19,HF,NA,NA,NA,NA
1171,6.7,4.9,5.5,16.415,DSC_0162.JPG,Processed_DSC_0162.JPG,10/17/19,HF,NA,NA,NA,NA
466,4.7,2.4,3.3,5.64,DSC_0163.JPG,Processed_DSC_0163.JPG,10/17/19,HF,NA,NA,NA,NA
715,3.8,2.3,2.8,4.37,DSC_0163.JPG,Processed_DSC_0163.JPG,10/17/19,HF,NA,NA,NA,NA
1074,7.1,3.3,3.1,11.715,DSC_0163.JPG,Processed_DSC_0163.JPG,10/17/19,HF,NA,NA,NA,NA
269,6.8,3.5,5.9,11.9,DSC_0163.JPG,Processed_DSC_0163.JPG,10/17/19,HF,NA,NA,NA,NA
818,1.9,1.2,0,1.14,DSC_0163.JPG,Processed_DSC_0163.JPG,10/17/19,HF,NA,NA,NA,NA
624,4.4,2.8,3.7,6.16,DSC_0164.JPG,Processed_DSC_0164.JPG,10/17/19,HF,NA,NA,NA,NA
439,3,2.1,2.4,3.15,DSC_0164.JPG,Processed_DSC_0164.JPG,10/17/19,HF,NA,NA,NA,NA
68,5.3,3.5,3.7,9.275,DSC_0164.JPG,Processed_DSC_0164.JPG,10/17/19,HF,NA,NA,NA,NA
766,2,1,0,1,DSC_0164.JPG,Processed_DSC_0164.JPG,10/17/19,HF,NA,NA,NA,NA
1160,3,2.7,2.2,4.05,DSC_0164.JPG,Processed_DSC_0164.JPG,10/17/19,HF,NA,NA,NA,NA
924,5.4,3.3,4.4,8.91,DSC_0165.JPG,Processed_DSC_0165.JPG,10/17/19,HF,NA,NA,NA,NA
1112,4.2,2,3.4,4.2,DSC_0165.JPG,Processed_DSC_0165.JPG,10/17/19,HF,NA,NA,NA,NA
33,5.3,2.7,3.9,7.155,DSC_0165.JPG,Processed_DSC_0165.JPG,10/17/19,HF,NA,NA,NA,NA
351,2.6,1.6,2.2,2.08,DSC_0165.JPG,Processed_DSC_0165.JPG,10/17/19,HF,NA,NA,NA,NA
1091,7,2.5,5.9,8.75,DSC_0165.JPG,Processed_DSC_0165.JPG,10/17/19,HF,NA,NA,NA,NA
93,3,1,0,1.5,DSC_0166.JPG,Processed_DSC_0166.JPG,10/17/19,HF,NA,NA,NA,NA
297,2.9,3.7,1.9,5.365,DSC_0166.JPG,Processed_DSC_0166.JPG,10/17/19,HF,NA,NA,NA,NA
653,4.6,3.2,3.5,7.36,DSC_0166.JPG,Processed_DSC_0166.JPG,10/17/19,HF,NA,NA,NA,NA
1050,6.3,3.1,4.6,9.765,DSC_0166.JPG,Processed_DSC_0166.JPG,10/17/19,HF,NA,NA,NA,NA
1108,2.5,1.5,0,1.875,DSC_0166.JPG,Processed_DSC_0166.JPG,10/17/19,HF,NA,NA,NA,NA
759,5.8,2.1,5,6.09,DSC_0167.JPG,Processed_DSC_0167.JPG,10/17/19,HF,NA,NA,NA,NA
193,3,1,0,1.5,DSC_0167.JPG,Processed_DSC_0167.JPG,10/17/19,HF,NA,NA,NA,NA
915,6.4,3.2,5,10.24,DSC_0167.JPG,Processed_DSC_0167.JPG,10/17/19,HF,NA,NA,NA,NA
