siteID,sampleID,namedLocation.x,collectDate.y,individualCount,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,decimalLatitude,decimalLongitude,elevation,nlcdClass,density,adultdensity
BART,BART_011.20140602,BART_011.tickPlot.tck,2014-06-02T18:32Z,1,160,Y,1,0,0,44.048783,-71.295353,399.5,mixedForest,0.00625,0.00625
BART,BART_011.20150810,BART_011.tickPlot.tck,2015-08-10T21:07Z,1,165,Y,0,1,0,44.048783,-71.295353,399.5,mixedForest,0.006060606,0
BART,BART_029.20180611,BART_029.tickPlot.tck,2018-06-11T18:03Z,1,140,Y,1,0,0,44.058949,-71.289334,292.2,evergreenForest,0.007142857,0.007142857
BLAN,BLAN_005.20160627,BLAN_005.tickPlot.tck,2016-06-27T14:01Z,1,157,Y,1,18,0,39.086224,-77.972736,168.3,deciduousForest,0.121019108,0.006369427
BLAN,BLAN_005.20180720,BLAN_005.tickPlot.tck,2018-07-20T13:49Z,1,166,Y,1,0,0,39.086224,-77.972736,168.3,deciduousForest,0.006024096,0.006024096
BLAN,BLAN_012.20160425,BLAN_012.tickPlot.tck,2016-04-25T16:55Z,1,167,Y,1,1,0,39.082719,-77.95959,134.9,deciduousForest,0.011976048,0.005988024
BLAN,BLAN_012.20170418,BLAN_012.tickPlot.tck,2017-04-18T19:34Z,1,148,Y,1,0,0,39.082719,-77.95959,134.9,deciduousForest,0.006756757,0.006756757
BLAN,BLAN_012.20170620,BLAN_012.tickPlot.tck,2017-06-20T19:53Z,1,157,Y,1,2,0,39.082719,-77.95959,134.9,deciduousForest,0.01910828,0.006369427
BLAN,BLAN_012.20170801,BLAN_012.tickPlot.tck,2017-08-01T15:22Z,1,161,Y,1,0,25,39.082719,-77.95959,134.9,deciduousForest,0.161490683,0.00621118
BLAN,BLAN_015.20170801,BLAN_015.tickPlot.tck,2017-08-01T16:38Z,1,159,Y,1,0,56,39.088729,-77.955492,125.9,deciduousForest,0.358490566,0.006289308
BLAN,BLAN_015.20180626,BLAN_015.tickPlot.tck,2018-06-26T15:12Z,1,160,Y,1,0,0,39.088729,-77.955492,125.9,deciduousForest,0.00625,0.00625
CLBJ,CLBJ_033.20170405,CLBJ_033.tickPlot.tck,2017-04-05T18:57Z,1,150,Y,1,0,0,33.382288,-97.619783,304.4,deciduousForest,0.006666667,0.006666667
CLBJ,CLBJ_033.20170627,CLBJ_033.tickPlot.tck,2017-06-27T17:50Z,1,104,Y,4,0,0,33.382288,-97.619783,304.4,deciduousForest,0.038461538,0.038461538
CLBJ,CLBJ_033.20170627,CLBJ_033.tickPlot.tck,2017-06-27T17:50Z,3,104,Y,4,0,0,33.382288,-97.619783,304.4,deciduousForest,0.038461538,0.038461538
CLBJ,CLBJ_033.20170808,CLBJ_033.tickPlot.tck,2017-08-08T18:08Z,2,117,Y,2,0,0,33.382288,-97.619783,304.4,deciduousForest,0.017094017,0.017094017
CLBJ,CLBJ_033.20180621,CLBJ_033.tickPlot.tck,2018-06-21T15:46Z,1,149,Y,1,0,0,33.382288,-97.619783,304.4,deciduousForest,0.006711409,0.006711409
CLBJ,CLBJ_040.20170427,CLBJ_040.tickPlot.tck,2017-04-27T18:18Z,1,190,Y,1,0,0,33.377571,-97.647237,327.7,deciduousForest,0.005263158,0.005263158
CLBJ,CLBJ_040.20170606,CLBJ_040.tickPlot.tck,2017-06-06T14:51Z,1,175,Y,1,0,0,33.377571,-97.647237,327.7,deciduousForest,0.005714286,0.005714286
CLBJ,CLBJ_040.20180531,CLBJ_040.tickPlot.tck,2018-05-31T14:00Z,1,140,Y,1,0,0,33.377571,-97.647237,327.7,deciduousForest,0.007142857,0.007142857
CLBJ,CLBJ_040.20180823,CLBJ_040.tickPlot.tck,2018-08-23T15:34Z,1,114,Y,1,0,0,33.377571,-97.647237,327.7,deciduousForest,0.00877193,0.00877193
CLBJ,CLBJ_043.20160825,CLBJ_043.tickPlot.tck,2016-08-25T15:35Z,1,162,Y,1,0,0,33.410406,-97.593713,284.8,deciduousForest,0.00617284,0.00617284
DCFS,DCFS_001.20170607,DCFS_001.tickPlot.tck,2017-06-07T19:34Z,2,160,Y,2,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.0125,0.0125
DCFS,DCFS_001.20170629,DCFS_001.tickPlot.tck,2017-06-29T18:30Z,1,160,Y,1,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.00625,0.00625
DCFS,DCFS_001.20180516,DCFS_001.tickPlot.tck,2018-05-16T13:55Z,4,160,Y,12,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.075,0.075
DCFS,DCFS_001.20180516,DCFS_001.tickPlot.tck,2018-05-16T13:55Z,8,160,Y,12,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.075,0.075
DCFS,DCFS_001.20180606,DCFS_001.tickPlot.tck,2018-06-06T17:52Z,2,160,Y,7,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.04375,0.04375
DCFS,DCFS_001.20180606,DCFS_001.tickPlot.tck,2018-06-06T17:52Z,5,160,Y,7,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.04375,0.04375
DCFS,DCFS_001.20180627,DCFS_001.tickPlot.tck,2018-06-27T17:50Z,3,160,Y,6,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.0375,0.0375
DCFS,DCFS_001.20180627,DCFS_001.tickPlot.tck,2018-06-27T17:50Z,3,160,Y,6,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.0375,0.0375
DCFS,DCFS_001.20180718,DCFS_001.tickPlot.tck,2018-07-18T19:27Z,1,160,Y,1,0,0,47.209008,-99.165875,575.5,grasslandHerbaceous,0.00625,0.00625
DCFS,DCFS_003.20180516,DCFS_003.tickPlot.tck,2018-05-16T15:37Z,3,160,Y,5,3,0,47.207478,-99.183538,591.2,grasslandHerbaceous,0.05,0.03125
DCFS,DCFS_003.20180516,DCFS_003.tickPlot.tck,2018-05-16T15:37Z,5,160,Y,5,3,0,47.207478,-99.183538,591.2,grasslandHerbaceous,0.05,0.03125
DCFS,DCFS_003.20180606,DCFS_003.tickPlot.tck,2018-06-06T17:17Z,3,160,Y,4,0,0,47.207478,-99.183538,591.2,grasslandHerbaceous,0.025,0.025
DCFS,DCFS_003.20180606,DCFS_003.tickPlot.tck,2018-06-06T17:17Z,1,160,Y,4,0,0,47.207478,-99.183538,591.2,grasslandHerbaceous,0.025,0.025
DCFS,DCFS_003.20180627,DCFS_003.tickPlot.tck,2018-06-27T19:02Z,1,160,Y,5,0,0,47.207478,-99.183538,591.2,grasslandHerbaceous,0.03125,0.03125
DCFS,DCFS_003.20180627,DCFS_003.tickPlot.tck,2018-06-27T19:02Z,4,160,Y,5,0,0,47.207478,-99.183538,591.2,grasslandHerbaceous,0.03125,0.03125
DCFS,DCFS_004.20170607,DCFS_004.tickPlot.tck,2017-06-07T15:00Z,1,160,Y,1,0,0,47.171933,-99.053166,505,grasslandHerbaceous,0.00625,0.00625
DCFS,DCFS_004.20180516,DCFS_004.tickPlot.tck,2018-05-16T14:17Z,1,160,Y,1,0,0,47.171933,-99.053166,505,grasslandHerbaceous,0.00625,0.00625
DCFS,DCFS_005.20170607,DCFS_005.tickPlot.tck,2017-06-07T18:01Z,1,162,Y,2,0,0,47.199469,-99.166739,564.6,grasslandHerbaceous,0.012345679,0.012345679
DCFS,DCFS_005.20170607,DCFS_005.tickPlot.tck,2017-06-07T18:01Z,1,162,Y,2,0,0,47.199469,-99.166739,564.6,grasslandHerbaceous,0.012345679,0.012345679
DCFS,DCFS_005.20170629,DCFS_005.tickPlot.tck,2017-06-29T17:05Z,1,160,Y,1,0,0,47.199469,-99.166739,564.6,grasslandHerbaceous,0.00625,0.00625
DCFS,DCFS_005.20180516,DCFS_005.tickPlot.tck,2018-05-16T16:42Z,1,160,Y,2,0,0,47.199469,-99.166739,564.6,grasslandHerbaceous,0.0125,0.0125
DCFS,DCFS_005.20180516,DCFS_005.tickPlot.tck,2018-05-16T16:42Z,1,160,Y,2,0,0,47.199469,-99.166739,564.6,grasslandHerbaceous,0.0125,0.0125
