siteID,sampleID,namedLocation.x,collectDate.y,individualCount,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,decimalLatitude,decimalLongitude,elevation,nlcdClass,density,adultdensity
HARV,HARV_001.20170622,HARV_001.tickPlot.tck,2017-06-22T15:53Z,1,160,Y,1,12,0,42.424217,-72.260096,202.1,deciduousForest,0.08125,0.00625
HARV,HARV_001.20170710,HARV_001.tickPlot.tck,2017-07-10T16:30Z,1,160,Y,1,9,0,42.424217,-72.260096,202.1,deciduousForest,0.0625,0.00625
HARV,HARV_001.20180514,HARV_001.tickPlot.tck,2018-05-14T18:39Z,1,165,Y,1,0,0,42.424217,-72.260096,202.1,deciduousForest,0.006060606,0.006060606
HARV,HARV_001.20180606,HARV_001.tickPlot.tck,2018-06-06T17:48Z,1,165,Y,3,1,1,42.424217,-72.260096,202.1,deciduousForest,0.03030303,0.018181818
HARV,HARV_001.20180606,HARV_001.tickPlot.tck,2018-06-06T17:48Z,2,165,Y,3,1,1,42.424217,-72.260096,202.1,deciduousForest,0.03030303,0.018181818
HARV,HARV_002.20180516,HARV_002.tickPlot.tck,2018-05-16T19:26Z,1,160,Y,3,0,0,42.477231,-72.259454,187.7,deciduousForest,0.01875,0.01875
HARV,HARV_002.20180516,HARV_002.tickPlot.tck,2018-05-16T19:26Z,1,160,Y,3,0,0,42.477231,-72.259454,187.7,deciduousForest,0.01875,0.01875
HARV,HARV_002.20180607,HARV_002.tickPlot.tck,2018-06-07T13:54Z,1,160,Y,8,0,0,42.477231,-72.259454,187.7,deciduousForest,0.05,0.05
HARV,HARV_002.20180607,HARV_002.tickPlot.tck,2018-06-07T13:54Z,1,160,Y,8,0,0,42.477231,-72.259454,187.7,deciduousForest,0.05,0.05
HARV,HARV_002.20180716,HARV_002.tickPlot.tck,2018-07-16T13:13Z,2,160,Y,1,7,1,42.477231,-72.259454,187.7,deciduousForest,0.05625,0.00625
HARV,HARV_002.20180716,HARV_002.tickPlot.tck,2018-07-16T13:13Z,1,160,Y,1,7,1,42.477231,-72.259454,187.7,deciduousForest,0.05625,0.00625
HARV,HARV_002.20180808,HARV_002.tickPlot.tck,2018-08-08T18:49Z,1,160,Y,1,0,0,42.477231,-72.259454,187.7,deciduousForest,0.00625,0.00625
HARV,HARV_004.20140924,HARV_004.tickPlot.tck,2014-09-24T16:08Z,1,162,Y,4,1,53,42.426877,-72.227953,182.6,mixedForest,0.358024691,0.024691358
HARV,HARV_004.20170509,HARV_004.tickPlot.tck,2017-05-09T14:58Z,1,160,Y,5,1,0,42.426877,-72.227953,182.6,mixedForest,0.0375,0.03125
HARV,HARV_004.20170509,HARV_004.tickPlot.tck,2017-05-09T14:58Z,2,160,Y,5,1,0,42.426877,-72.227953,182.6,mixedForest,0.0375,0.03125
HARV,HARV_004.20170622,HARV_004.tickPlot.tck,2017-06-22T17:32Z,1,160,Y,1,6,0,42.426877,-72.227953,182.6,mixedForest,0.04375,0.00625
